state,status,notes
Hawaii,1,notes
Vermont,1
New Mexico,1
Rhode Island,1
New Jersey,1
Delaware,1
Connecticut,1
Illinois,1
New Hampshire,1
Maryland,1
Minnesota,1
New York,1
Ohio,1
Pennsylvania,1
California,1
Alaska,2
"Washington, D.C.",2
Colorado,2
Arizona,1
Oregon,2
Washington,2
Maine,1
Nevada,1
Montana,1
Michigan,1
Massachusetts,1
Alabama,0
Arkansas,0
Florida,0
Georgia,0
Idaho,0
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Mississippi,0
Missouri,0
Nebraska,0
North Carolina,0
North Dakota,0
Oklahoma,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,0
Utah,0
Virginia,0
West Virginia,0
Wisconsin,0
Wyoming,0
